name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Kenya,2020,53771.30078,27.99499893,61.63289158,9.54187005,9.780087524,19.04515084,51.77997893,11.56900419,12.51911322,24.13190366,86.97523145,4.327944725,2.73514263,5.961681193,Sub-Saharan Africa,53743.30578107,99.95,0.05,51.8,20630.49,25915.03,3.65,Medium,Medium,Medium-High,35.2,True,58.19692798,3.44
Burundi,2020,11890.78125,13.70800018,62.20712225,19.43969314,14.75825969,3.594924913,57.68576527,21.25148213,16.89675238,4.166000219,90.66911086,8.034462869,1.296426269,0.0,Sub-Saharan Africa,11877.07324982,99.88,0.12,57.72,4493.87,5025.69,1.28,Medium,Medium,High,32.98,True,59.58146925,2.63
Zimbabwe,2020,,32.0,63.0,14.0,16.0,7.0,48.0,19.0,23.0,10.0,93.0,5.0,2.0,,Sub-Saharan Africa,,,,,,,2.24,Medium,Low,High,45.0,True,65.0,-2.0
Mozambique,2020,31255.43555,37.0739975,63.36942563,9.975784507,16.72614511,9.928644759,48.8666865,12.64088359,23.6862564,14.80617352,87.98504792,5.452291027,4.912684644,1.649976404,Sub-Saharan Africa,31218.3615525,99.88,0.12,48.91,11449.05,15962.98,4.45,Medium,Low,Medium-High,39.12,True,51.17617521,12.19
Sierra Leone,2020,7976.984863,42.92300034,63.76628562,9.023316357,15.5639457,11.64645233,52.75270267,5.221136889,23.14294909,18.88321135,78.41163766,14.07927743,5.485735437,2.023349475,Sub-Saharan Africa,7934.06186266,99.46,0.54,52.89,2890.36,3748.63,9.27,Medium,Medium,Medium-High,25.66,True,57.84746516,5.92
Guinea,2020,13132.79199,36.875,63.96178874,21.2815915,6.296119406,8.460500354,50.74817899,26.14432944,9.704719143,13.40277243,86.58169007,12.95724153,0.461068398,0.0,Sub-Saharan Africa,13095.91699,99.72,0.28,50.85,4732.82,6449.98,4.95,Medium,Medium,Medium-High,35.83,True,63.61538954,0.35
Zambia,2020,18383.95508,44.6289978,65.41238357,6.15393902,21.57684071,6.856836706,48.22728833,8.331703613,31.60865444,11.83235362,86.73385466,3.451996194,9.130414105,0.6837350463,Sub-Saharan Africa,18339.3260822,99.76,0.24,48.32,6358.57,9494.77,5.92,Medium,Low,Medium-High,38.51,True,61.33874628,4.07
Benin,2020,12123.19824,48.4149971,65.41412299,9.317535586,21.97254088,3.295800547,58.05226799,12.70520504,23.97796833,5.264558634,73.25800004,5.708056353,19.83580681,1.198136794,Sub-Saharan Africa,12074.7832429,99.6,0.4,58.11,4192.91,5065.1,12.95,Medium,Medium,Medium,15.21,True,64.7868223,0.63
Cameroon,2020,26545.86328,57.56000519,65.72041818,12.87474863,15.00100626,6.403826927,43.52758112,12.67259943,30.12380645,13.676013,82.08358486,13.02379677,3.850701351,1.041917019,Sub-Saharan Africa,26488.30327481,99.78,0.22,43.61,9099.81,14958.59,10.31,Medium,Low,Medium-High,38.56,True,63.97399012,1.75
Haiti,2020,11402.5332,57.08799744,66.6953084,9.814543652,23.49014795,0.0,42.8457001,13.25598695,43.89831295,0.0,84.62262129,7.227673879,8.149704835,0.0,Sub-Saharan Africa,11345.44520256,99.5,0.5,43.05,3797.58,6484.41,8.78,Medium,Low,Medium-High,41.78,True,64.56748594,2.13
Solomon Islands,2020,686.8779907,24.67000008,67.30102554,5.79547831,21.26784313,5.635653025,59.40526749,6.528523649,26.955911,7.110297857,91.41077689,3.557120425,3.899286137,1.132816553,East Asia & Pacific,662.20799062,96.41,3.59,60.55,224.6,268.82,2.12,Medium,Medium,High,32.01,True,69.32991889,-2.03
Togo,2020,8278.737305,42.79999924,68.58372009,6.065434765,14.16432245,11.18652269,52.11755275,8.187542019,20.7910842,18.90382103,90.58991001,3.229348056,5.307990528,0.8727514049,Sub-Saharan Africa,8235.93730576,99.48,0.52,52.32,2600.87,3943.57,4.03,Medium,Medium,High,38.47,True,63.63712635,4.95
Malawi,2020,19129.95508,17.42700005,70.04772851,21.95081497,5.776304407,2.22515211,66.58504376,24.41415803,6.383874146,2.616924066,86.45469821,10.27894825,2.897503996,0.3688495446,Sub-Saharan Africa,19112.52807995,99.91,0.09,66.6,5729.86,6386.44,2.36,Medium,Medium,Medium-High,19.87,True,66.15495914,3.89
Eswatini,2020,1160.16394,24.17100143,70.75307095,9.507067163,9.835567931,9.904293959,62.46644874,12.29969513,12.45046093,12.78339519,96.74976305,0.7460644731,1.632164244,0.8720082294,Sub-Saharan Africa,1135.99293857,97.92,2.08,63.18,339.31,426.38,0.79,Medium,Medium,High,34.28,True,66.70395522,4.05
Côte d'Ivoire,2020,26378.27539,51.70599747,70.90907039,8.935421702,14.19244161,5.963066293,55.72244686,13.34316829,23.17527956,7.759105289,85.09355329,4.818535156,5.80236656,4.285544994,Sub-Saharan Africa,26326.56939253,99.8,0.2,55.78,7673.69,11656.76,7.71,Medium,Medium,Medium-High,29.37,True,71.0757669,-0.17
Cambodia,2020,16718.9707,24.23200035,71.21988497,13.90222204,5.677218558,9.200674434,65.06715583,15.51772278,7.492899307,11.92222209,90.45807717,8.85091472,0.0,0.6910081144,East Asia & Pacific,16694.738699650003,99.86,0.14,65.1,4811.74,5831.95,2.31,Medium,Medium,High,25.39,True,68.44384896,2.78
Mauritania,2020,4649.660156,55.32699585,71.68104923,13.47689193,14.82032681,0.02173203433,49.9113389,18.49039689,31.5496173,0.04864690722,89.25869465,9.428808083,1.31249727,0.0,Sub-Saharan Africa,4594.33316015,98.81,1.19,50.38,1316.73,2301.24,5.94,Medium,Low,Medium-High,39.35,True,66.9733094,4.71
Lesotho,2020,2142.251953,29.02799988,72.17603927,10.40592597,12.21725464,5.200780116,63.65035482,13.55843013,15.73132479,7.059890254,93.02090855,2.698211997,3.625530038,0.65534942,Sub-Saharan Africa,2113.22395312,98.64,1.36,64.05,596.06,768.15,2.03,Medium,Medium,High,29.37,True,70.5456894,1.63
Congo,2020,5518.091797,67.82900238,73.78451158,10.46117203,9.559180722,6.195135664,45.72441318,10.6323901,24.40516973,19.23802699,87.09329616,10.37996439,2.517789997,0.008949452055,Sub-Saharan Africa,5450.26279462,98.77,1.23,46.23,1446.59,2958.16,8.75,Medium,Low,Medium-High,41.37,True,71.14958177,2.63
