name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Comoros,2015,777.4349976,28.47000122,80.13200008,10.877265,8.395193432,0.5955414912,76.91172345,11.56864724,10.82245445,0.6971748583,88.22284558,9.140188495,2.29677513,0.340190797,Sub-Saharan Africa,748.96499638,96.34,3.66,77.33,154.46,172.92,3.35,Medium-High,Medium-High,Medium-High,11.31,True,,
Comoros,2019,850.8909912,29.16400146,80.21049781,10.86041131,8.929090888,,76.91172345,11.56864724,11.51962931,,88.22284558,9.140188495,2.29677513,0.340190797,Sub-Saharan Africa,821.72698974,96.57,3.43,77.3,168.39,189.72,3.43,Medium-High,Medium-High,Medium-High,11.31,True,80.13200008,0.08
Congo,2015,4856.092773,65.54299927,71.14958177,10.51052605,11.66204631,6.677845876,41.39183594,10.73957265,28.50184871,19.36674269,86.79370516,10.390113,2.809090742,0.00709109589,Sub-Saharan Africa,4790.54977373,98.65,1.35,42.0,1401.0,2807.65,8.66,Medium,Low,Medium-High,45.4,True,,
Congo,2020,5518.091797,67.82900238,73.78451158,10.46117203,9.559180722,6.195135664,45.72441318,10.6323901,24.40516973,19.23802699,87.09329616,10.37996439,2.517789997,0.008949452055,Sub-Saharan Africa,5450.26279462,98.77,1.23,46.23,1446.59,2958.16,8.75,Medium,Low,Medium-High,41.37,True,71.14958177,2.63
Côte d'Ivoire,2015,23226.14844,49.44400024,71.0757669,8.767136459,14.41768054,5.739416095,55.84317172,13.1884673,22.63128471,8.337076273,86.65094535,4.246369254,6.019351236,3.083334164,Sub-Saharan Africa,23176.70443976,99.79,0.21,55.91,6717.99,10234.1,6.6,Medium,Medium,Medium-High,30.81,True,,
Côte d'Ivoire,2020,26378.27539,51.70599747,70.90907039,8.935421702,14.19244161,5.963066293,55.72244686,13.34316829,23.17527956,7.759105289,85.09355329,4.818535156,5.80236656,4.285544994,Sub-Saharan Africa,26326.56939253,99.8,0.2,55.78,7673.69,11656.76,7.71,Medium,Medium,Medium-High,29.37,True,71.0757669,-0.17
Democratic Republic of the Congo,2015,76244.53125,42.73999786,42.71817997,12.68729907,34.28402477,10.31049619,20.6225138,11.51689397,51.00984003,16.8507522,72.32037779,14.25532498,11.87596826,1.548328967,Sub-Saharan Africa,76201.79125214,99.94,0.06,20.65,43674.26,60487.07,11.83,Low,Low,Medium,51.7,True,,
Democratic Republic of the Congo,2020,89561.40625,45.63800049,45.95212696,13.44122447,32.54231607,8.064332495,21.98279234,12.68294146,51.21598167,14.11828453,74.50335478,14.34445818,10.29905862,0.8531284131,Sub-Saharan Africa,89515.76824951,99.95,0.05,22.01,48406.04,69837.7,11.64,Low,Low,Medium,52.52,True,42.71817997,3.23
Djibouti,2015,913.9979858,77.41699219,75.78704503,14.75417119,7.39492395,2.063859825,48.75920509,12.43877762,30.37700254,8.425014754,83.67122985,15.42958572,0.6909116479,0.2082727854,Sub-Saharan Africa,836.5809936100001,91.53,8.47,51.72,221.31,428.67,12.64,Medium-High,Low,Medium-High,34.91,True,,
Djibouti,2020,988.0020142,78.06199646,76.04992021,14.7574817,7.015876051,2.176722038,47.28073293,12.06161014,30.73550468,9.922152249,84.13501493,15.51511107,0.3498740029,0.0,Sub-Saharan Africa,909.94001774,92.1,7.9,50.19,236.63,479.71,12.38,Medium-High,Low,Medium-High,36.85,True,75.78704503,0.26
Equatorial Guinea,2015,1168.574951,70.61600494,64.17860165,2.934933836,26.32879888,6.557665631,30.77536932,1.353579774,46.28605636,21.58499455,78.07800598,3.592950383,18.02439455,0.3046490909,Sub-Saharan Africa,1097.95894606,93.96,6.04,33.63,418.6,760.06,15.48,Medium,Low,Medium-High,47.3,True,,
Equatorial Guinea,2017,1262.008057,71.64599609,64.66581606,2.957999225,26.03770633,6.338478386,30.77536932,1.353579774,46.28605636,21.58499455,78.07800598,3.592950383,18.02439455,0.3046490909,Sub-Saharan Africa,1190.36206091,94.32,5.68,33.46,445.92,824.02,15.71,Medium,Low,Medium-High,47.3,True,64.17860165,0.49
Eritrea,2015,3342.818115,38.20600128,51.46509353,17.70763334,13.55609825,17.27117488,27.80157647,24.49842353,20.075,27.625,89.73822453,6.724275474,3.0125,0.525,Sub-Saharan Africa,3304.6121137200003,98.86,1.14,28.51,1622.43,2385.88,3.92,Medium,Low,Medium-High,61.94,True,,
