name,region,wat_bas_n,wat_bas_r,wat_bas_u,rural_urban_gap,pop_without_basic_water
Barbados,Latin America & Caribbean,98.51445042,,,,4.27
Belize,Latin America & Caribbean,98.40195463,97.99520758,98.87896,0.88,6.35
Iraq,Middle East & North Africa,98.35990325,94.83114678,99.80873103,4.98,659.69
Montserrat,Latin America & Caribbean,98.07748262,,,,0.1
Lithuania,Europe & Central Asia,98.01334724,93.78278023,100.0,6.22,54.08
Suriname,Latin America & Caribbean,97.98963167,96.57441263,98.71385387,2.14,11.79
El Salvador,Latin America & Caribbean,97.94657541,93.45439508,99.57087001,6.12,133.19
West Bank and Gaza Strip,Europe & Central Asia,97.88039722,98.71555642,97.62696443,-1.09,108.13
Uzbekistan,Europe & Central Asia,97.82878485,96.07258236,99.55600556,3.48,726.69
North Macedonia,Europe & Central Asia,97.74281579,97.46871457,97.93740299,0.47,47.03
Bangladesh,South Asia,97.69796025,97.88023776,97.40277797,-0.48,3791.22
Tunisia,Sub-Saharan Africa,97.54330899,93.93623193,99.12119763,5.18,290.35
Colombia,Latin America & Caribbean,97.49165711,86.76707282,99.9381928,13.17,1276.32
Iran (Islamic Republic of),South Asia,97.48263633,93.82873538,98.64448672,4.82,2114.41
Ireland,Europe & Central Asia,97.39970651,98.13492075,96.97988603,-1.16,128.4
Georgia,Europe & Central Asia,97.3481397,94.2718842,99.44615394,5.17,105.79
Bhutan,South Asia,97.31322263,96.73119365,98.10662849,1.38,20.73
Malaysia,South Asia,97.09990707,90.19744812,99.14309591,8.95,938.64
Turkey,Europe & Central Asia,97.01426916,96.02516977,97.32481783,1.3,2518.14
Niue,East Asia & Pacific,97.01087618,,,,0.05
Cuba,Latin America & Caribbean,97.00269616,94.38665114,97.77557664,3.39,339.49
Russian Federation,Europe & Central Asia,96.99254807,91.54410196,98.83259961,7.29,4388.91
Saint Lucia,Latin America & Caribbean,96.88784457,96.81402383,97.20582219,0.39,5.71
Viet Nam,East Asia & Pacific,96.88435687,95.51453844,99.18304001,3.67,3032.72
Dominican Republic,Latin America & Caribbean,96.68681192,90.30446437,98.03689158,7.73,359.41
Belarus,Europe & Central Asia,96.53472608,98.56412231,96.01087362,-2.55,327.44
Mayotte,Sub-Saharan Africa,96.37117971,,,,9.9
Bosnia and Herzegovina,Europe & Central Asia,96.11389762,97.33333333,94.8457044,-2.49,127.5
Azerbaijan,Europe & Central Asia,96.04337613,90.92579795,100.0,9.07,401.17
Honduras,Latin America & Caribbean,95.68922113,89.87579955,99.83728281,9.96,426.97
Guyana,Latin America & Caribbean,95.55480685,93.9284905,100.0,6.07,34.96
Kazakhstan,Europe & Central Asia,95.43497032,91.93925234,98.00073133,6.06,857.16
Ecuador,Latin America & Caribbean,95.35976356,87.05074495,100.0,12.95,818.68
Falkland Islands (Malvinas),Latin America & Caribbean,95.3089274,78.17294282,100.0,21.83,0.16
Serbia,Europe & Central Asia,95.29552932,95.84497475,94.87156989,-0.97,411.05
Albania,Europe & Central Asia,95.06803883,94.09135806,95.66380912,1.57,141.93
Algeria,Middle East & North Africa,94.43732996,90.03753791,96.00473586,5.97,2439.29
Panama,Latin America & Caribbean,94.37254436,86.32308326,98.08889267,11.77,242.81
Fiji,East Asia & Pacific,94.30106524,89.08802405,98.19424406,9.11,51.09
China,East Asia & Pacific,94.26111059,89.66123351,97.11488267,7.45,83968.02
Philippines,South Asia,94.10903456,91.06193322,97.4893325,6.43,6455.38
Guatemala,Latin America & Caribbean,94.00642827,90.1193298,97.61816944,7.5,1073.78
Ukraine,Europe & Central Asia,93.92828195,100.0,91.27727011,-8.72,2655.39
Syrian Arab Republic,Middle East & North Africa,93.92585718,92.082745,95.40516436,3.32,1063.01
South Africa,Sub-Saharan Africa,93.88505744,83.32948118,99.00126484,15.67,3626.69
Democratic People's Republic of Korea,East Asia & Pacific,93.84384303,88.75362488,96.91351044,8.16,1586.98
French Guiana,Latin America & Caribbean,93.78221635,,,,18.57
Venezuela (Bolivarian Republic of),Latin America & Caribbean,93.68580071,,,,1795.5
Bolivia (Plurinational State of),Latin America & Caribbean,93.39007163,79.93664283,99.12211832,19.19,771.58
Peru,Latin America & Caribbean,93.13936621,80.79943849,96.55984408,15.76,2262.08
Lebanon,Middle East & North Africa,92.6,,,,505.08
Indonesia,East Asia & Pacific,92.41534961,85.66796238,97.58051207,11.91,20745.81
Sri Lanka,South Asia,92.22757937,90.5374357,99.56938019,9.03,1664.33
Botswana,Sub-Saharan Africa,92.21356307,79.04372386,97.62498058,18.58,183.11
Oman,Middle East & North Africa,92.16802469,76.25077991,94.7,18.45,399.95
Samoa,East Asia & Pacific,91.83772455,91.78032287,92.10119,0.32,16.19
Kyrgyzstan,Europe & Central Asia,91.69930522,87.258429,99.30769231,12.05,541.55
Saint Pierre and Miquelon,North America,91.4,,,,0.5
Vanuatu,East Asia & Pacific,91.23119075,88.39720123,99.5,11.1,26.93
Jamaica,Latin America & Caribbean,91.0299445,85.39991216,95.39801591,10.0,265.62
Republic of Moldova,Europe & Central Asia,90.56996224,85.48103812,97.35744448,11.88,380.4
India,South Asia,90.48952503,88.78250313,93.6700363,4.89,131244.97
Morocco,Middle East & North Africa,90.40234468,77.34612896,97.89674601,20.55,3542.55
Pakistan,South Asia,90.14896508,88.59986076,92.76804985,4.17,21760.18
Nepal,South Asia,90.07454179,90.20327165,89.57763316,-0.63,2891.96
Cabo Verde,Sub-Saharan Africa,88.76960642,80.11452544,93.1,12.99,62.44
Marshall Islands,East Asia & Pacific,88.57204698,94.42972,86.9,-7.53,6.76
Ghana,Sub-Saharan Africa,85.79099665,71.89275005,96.12725952,24.23,4415.16
Mongolia,East Asia & Pacific,85.49562527,61.07075114,96.64596558,35.58,475.5
Timor-Leste,East Asia & Pacific,85.4956012,80.48779562,96.47695792,15.99,191.23
Gabon,Sub-Saharan Africa,85.3419306,44.74588901,89.80653917,45.06,326.25
Lao People's Democratic Republic,East Asia & Pacific,85.21974318,78.47295942,97.06426222,18.59,1075.35
Senegal,Sub-Saharan Africa,84.90523779,75.2429282,95.32170094,20.08,2527.46
Namibia,Sub-Saharan Africa,84.27003628,71.25616743,96.26696535,25.01,399.69
Myanmar,East Asia & Pacific,83.71819191,78.42256469,95.42788606,17.01,8858.9
Mali,Sub-Saharan Africa,82.54729103,72.08089521,95.91745475,23.84,3534.32
Tajikistan,Europe & Central Asia,81.85241502,76.6435992,95.58062386,18.94,1730.85
