name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Bolivia (Plurinational State of),2020,11673.0293,70.1230011,93.39007163,0.1365905296,1.575010843,4.898326997,79.93664283,0.2447364082,3.954133693,15.86448707,99.12211832,0.09051328947,0.5613453808,0.2260230112,Latin America & Caribbean,11602.9062989,99.4,0.6,80.05,771.58,2327.93,0.62,High,Medium-High,Universal,19.19,True,90.46214101,2.93
Bosnia and Herzegovina,2020,3280.814941,49.02000046,96.11389762,3.823663938,0.06243843752,0.0,97.33333333,2.666666667,0.0,0.0,94.8457044,5.026922206,0.1273733928,0.0,Europe & Central Asia,3231.79494054,98.51,1.49,97.3,127.5,86.18,2.53,High,High,High,-2.49,False,96.15984418,-0.05
Botswana,2020,2351.625,70.8769989,92.21356307,4.72303897,1.732526476,1.330871481,79.04372386,15.15494718,1.596119156,4.20520981,97.62498058,0.4366200322,1.788579159,0.1498202281,Sub-Saharan Africa,2280.7480011,96.99,3.01,79.6,183.11,477.96,1.68,High,Medium-High,High,18.58,True,88.44628953,3.77
Brazil,2020,212559.4063,87.07299805,99.32085299,0.1265490039,0.5525980099,,95.94525953,0.9789509154,3.075789551,,99.82200131,0.0,0.1779986949,0.0,Latin America & Caribbean,212472.33330195,99.96,0.04,95.95,1443.59,8615.2,0.15,Universal,High,Universal,3.88,False,97.80356759,1.52
British Virgin Islands,2020,30.23699951,48.51499939,99.86438356,0.0,0.1356164384,0.0,,,,,,,,,Latin America & Caribbean,-18.27799988,-60.45,160.45,,0.04,,,Universal,Unknown,Unknown,,False,99.86438356,0.0
Brunei Darussalam,2020,437.4830017,78.25000763,99.9000368,0.0,0.09996320036,0.0,,,,,99.65,0.0,0.35,0.0,East Asia & Pacific,359.23299407,82.11,17.89,,0.44,,0.27,Universal,Unknown,Universal,,False,99.50997616,0.39
Bulgaria,2020,6948.444824,75.68599701,99.01141694,0.0,0.9885830607,0.0,97.40128797,0.0,2.598712031,0.0,99.5286704,0.0,0.4713296007,0.0,Europe & Central Asia,6872.75882699,98.91,1.09,97.42,68.69,178.6,0.36,Universal,High,Universal,2.13,False,99.19632731,-0.18
Burkina Faso,2020,20903.27734,30.60700035,47.21485446,31.2730034,21.15863263,0.3535095024,32.7182589,38.62690254,28.3404457,0.3143928626,80.08191854,14.60004919,4.875836487,0.4421957805,Sub-Saharan Africa,20872.67033965,99.85,0.15,32.79,11033.83,14043.5,6.1,Low,Low,Medium-High,47.36,True,50.13713109,-2.92
Burundi,2020,11890.78125,13.70800018,62.20712225,19.43969314,14.75825969,3.594924913,57.68576527,21.25148213,16.89675238,4.166000219,90.66911086,8.034462869,1.296426269,0.0,Sub-Saharan Africa,11877.07324982,99.88,0.12,57.72,4493.87,5025.69,1.28,Medium,Medium,High,32.98,True,59.58146925,2.63
Cabo Verde,2020,555.9879761,66.65200043,88.76960642,7.904150846,3.209147716,0.1170950144,80.11452544,9.911127022,9.623217003,0.3511305397,93.1,6.9,0.0,0.0,Sub-Saharan Africa,489.33597567,88.01,11.99,81.67,62.44,97.31,4.6,Medium-High,Medium-High,High,12.99,True,85.44334237,3.33
