name,income_group,wat_bas_n,urban_rural_gap,pop_without_basic
Paraguay,Upper middle income,99.59346633,0.7755210100000056,28.996135098803734
Lao People's Democratic Republic,Lower middle income,85.21974318,18.59130280000001,1075.34588434891
"China, Hong Kong SAR",High income,100.0,,0.0
Sierra Leone,Low income,63.76628562,25.65893499,2890.357911395254
Togo,Low income,68.58372009,38.472357259999995,2600.8712847523907
Switzerland,High income,100.0000028,0.0,-0.00024232930896409346
Israel,High income,100.0,0.0,0.0
Serbia,Upper middle income,95.29552932,-0.9734048600000023,411.0470153573467
Papua New Guinea,Lower middle income,45.34401752,47.00392797,4890.085697617449
Austria,High income,100.0,0.0,0.0
Belarus,Upper middle income,96.53472608,-2.5532486900000038,327.44486624472495
Tajikistan,Lower middle income,81.85241502,18.937024660000006,1730.8516148107838
Hungary,High income,99.99999747,0.0,0.00024440684542414846
United Arab Emirates,High income,99.965596,,3.402693350519145
Honduras,Lower middle income,95.68922113,9.961483260000008,426.9657659772288
Sweden,High income,99.82686763,0.12218293999998764,17.485104689977334
Azerbaijan,Upper middle income,96.04337613,9.074202049999997,401.16901035782496
Portugal,High income,99.91199367,0.2612239099999982,8.973747637954888
Jordan,Upper middle income,98.94030296,1.7817338999999919,108.12236885811667
Greece,High income,100.0000023,0.0,-0.00023973028075970345
Czech Republic,High income,99.88059167,0.08505162999999527,12.787417067715461
Dominican Republic,Upper middle income,96.68681192,7.732427209999997,359.41147219740776
South Sudan,Low income,40.95092717,36.42407564,6609.792906167281
Cuba,Upper middle income,97.00269616,3.388925499999999,339.49310260439256
Haiti,Lower middle income,66.6953084,41.776921189999996,3797.5785168476114
Belgium,High income,99.99999645,0.0,0.0004114313757338225
Bolivia (Plurinational State of),Lower middle income,93.39007163,19.18547549,771.5788753391131
Tunisia,Lower middle income,97.54330899,5.184965699999992,290.3469298429474
Burundi,Low income,62.20712225,32.983345590000006,4493.868421332422
Benin,Lower middle income,65.41412299,15.205732050000002,4192.914432964885
